"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2022","455.00","458.20","461.00","455.00","85.61K","-0.56%"
"Mar 03, 2022","457.55","466.15","466.15","456.55","40.98K","-2.65%"
"Mar 02, 2022","470.00","470.00","472.00","466.00","33.62K","0.00%"
"Mar 01, 2022","470.00","470.65","473.00","470.00","6.32K","-0.20%"
"Feb 28, 2022","470.95","474.95","477.00","470.50","12.40K","-0.43%"
"Feb 25, 2022","473.00","461.50","479.90","461.05","6.85K","3.90%"
"Feb 24, 2022","455.25","480.00","483.00","455.25","143.81K","-5.17%"
"Feb 23, 2022","480.05","478.00","482.00","476.00","413.11K","0.43%"
"Feb 22, 2022","478.00","482.00","482.00","477.10","59.25K","-1.09%"
"Feb 21, 2022","483.25","482.05","483.25","482.05","26.71K","-0.34%"
"Feb 18, 2022","484.90","481.00","484.90","481.00","14.38K","0.66%"
"Feb 17, 2022","481.70","480.60","481.70","480.60","4.92K","0.23%"
"Feb 16, 2022","480.60","479.50","485.00","479.50","13.90K","0.13%"
"Feb 15, 2022","480.00","483.00","487.00","479.10","673.83K","-2.01%"
"Feb 14, 2022","489.85","492.00","493.00","480.00","70.32K","-0.64%"
"Feb 11, 2022","493.00","493.00","494.05","493.00","16.40K","0.00%"
"Feb 10, 2022","493.00","491.05","495.00","491.05","15.07K","0.38%"
"Feb 09, 2022","491.15","494.00","494.00","491.15","17.67K","-0.79%"
"Feb 08, 2022","495.05","496.00","496.00","494.60","7.59K","0.00%"
"Feb 07, 2022","495.05","496.50","498.00","495.05","45.83K","-0.55%"
"Feb 04, 2022","497.80","496.00","498.00","495.60","35.19K","-0.04%"
"Feb 03, 2022","498.00","494.95","498.95","494.95","86.62K","0.55%"
"Feb 02, 2022","495.30","493.15","495.30","493.15","45.59K","0.24%"
"Feb 01, 2022","494.10","491.75","494.10","491.75","9.36K","0.21%"
"Jan 31, 2022","493.05","492.00","493.05","491.50","14.55K","-0.17%"
"Jan 28, 2022","493.90","491.55","493.90","491.55","11.89K","-0.12%"
"Jan 27, 2022","494.50","491.60","494.50","491.60","52.32K","0.56%"
"Jan 26, 2022","491.75","491.60","492.00","491.60","4.46K","-0.09%"
"Jan 25, 2022","492.20","492.20","495.00","491.50","50.24K","0.04%"
"Jan 24, 2022","492.00","492.00","492.00","491.00","9.91K","-0.61%"
"Jan 21, 2022","495.00","492.00","495.00","492.00","124.18K","0.60%"
"Jan 20, 2022","492.05","492.00","494.80","490.50","12.64K","-0.03%"
"Jan 19, 2022","492.20","491.10","497.00","491.10","10.38K","-0.57%"
"Jan 18, 2022","495.00","495.30","498.00","495.00","58.75K","0.00%"
"Jan 17, 2022","495.00","495.05","496.00","495.00","36.87K","-0.60%"
"Jan 14, 2022","498.00","490.70","498.00","490.70","137.08K","1.51%"
"Jan 13, 2022","490.60","490.10","491.00","487.10","17.06K","-0.08%"
"Jan 12, 2022","491.00","490.30","491.00","489.00","29.69K","0.00%"
"Jan 10, 2022","491.00","490.05","491.00","486.05","14.00K","0.20%"
"Jan 07, 2022","490.00","486.05","492.00","485.05","50.51K","0.82%"
"Jan 06, 2022","486.00","482.60","486.00","482.60","187.51K","0.81%"
"Jan 05, 2022","482.10","481.05","483.90","481.00","32.60K","0.31%"
"Jan 04, 2022","480.60","480.60","480.60","480.15","21.01K","0.02%"
"Jan 03, 2022","480.50","480.05","485.00","480.05","15.26K","-1.33%"
"Dec 31, 2021","487.00","483.00","489.00","483.00","196.61K","0.00%"
"Dec 30, 2021","487.00","483.00","487.00","481.00","31.81K","0.41%"
"Dec 29, 2021","485.00","483.05","485.00","483.00","27.24K","0.41%"
"Dec 28, 2021","483.00","476.00","483.00","476.00","6.94M","0.64%"
"Dec 27, 2021","479.95","472.00","480.00","472.00","56.93K","-0.01%"
"Dec 24, 2021","480.00","480.00","480.00","477.25","9.35K","0.00%"
"Dec 23, 2021","480.00","480.00","480.00","475.00","1.16K","0.73%"
"Dec 22, 2021","476.50","476.00","479.90","476.00","11.72K","-0.73%"
"Dec 21, 2021","480.00","478.50","483.00","478.50","37.99K","0.41%"
"Dec 20, 2021","478.05","482.90","482.90","476.00","3.77K","-1.02%"
"Dec 17, 2021","483.00","481.50","483.00","477.00","39.86K","0.00%"
"Dec 16, 2021","483.00","485.00","487.50","483.00","26.95K","0.08%"
"Dec 15, 2021","482.60","482.10","482.60","481.50","18.74K","-0.19%"
"Dec 14, 2021","483.50","483.50","486.00","483.50","26.76K","0.29%"
"Dec 13, 2021","482.10","484.00","489.00","482.10","179.95K","-1.01%"
"Dec 10, 2021","487.00","487.00","489.00","487.00","116.65K","0.00%"
"Dec 09, 2021","487.00","485.00","487.00","485.00","5.68K","0.00%"
"Dec 08, 2021","487.00","490.00","490.00","480.20","13.35K","0.41%"
"Dec 07, 2021","485.00","478.00","490.00","478.00","13.41K","0.94%"
"Dec 06, 2021","480.50","487.00","487.00","480.00","45.11K","-1.52%"
"Dec 03, 2021","487.90","480.00","487.90","480.00","12.96K","0.39%"
"Dec 02, 2021","486.00","479.50","486.00","479.50","26.86K","1.25%"
"Dec 01, 2021","480.00","473.15","480.00","473.15","15.82K","1.48%"
"Nov 30, 2021","473.00","470.70","475.00","470.70","111.95K","-0.21%"
"Nov 29, 2021","474.00","461.00","474.95","461.00","29.81K","-1.25%"
"Nov 26, 2021","480.00","488.00","488.00","480.00","43.28K","-1.53%"
"Nov 25, 2021","487.45","487.00","489.00","487.00","4.36K","-0.32%"
"Nov 24, 2021","489.00","487.20","489.00","487.00","6.56K","0.41%"
"Nov 23, 2021","487.00","486.00","487.00","485.00","27.54K","0.00%"
"Nov 22, 2021","487.00","490.00","490.00","486.00","10.83K","-0.06%"
"Nov 19, 2021","487.30","485.10","487.30","485.05","12.08K","0.86%"
"Nov 17, 2021","483.15","481.70","485.05","481.70","45.18K","0.43%"
"Nov 16, 2021","481.10","485.55","486.00","481.10","7.83K","-0.70%"
"Nov 15, 2021","484.50","484.50","484.50","484.50","7.64K","-0.72%"
