"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2022","597","600","601","596","3.38K","-0.67%"
"Mar 03, 2022","601","609","609","601","0.35K","-2.97%"
"Mar 02, 2022","619","615","620","615","0.17K","2.21%"
"Mar 01, 2022","606","622","622","604","0.23K","0.83%"
"Feb 28, 2022","601","612","614","601","0.85K","-1.48%"
"Feb 25, 2022","610","619","619","601","20.16K","-0.83%"
"Feb 24, 2022","615","620","621","615","0.35K","-0.79%"
"Feb 23, 2022","620","630","630","620","0.66K","0.00%"
"Feb 22, 2022","620","630","630","620","3.36K","-1.59%"
"Feb 21, 2022","630","640","640","630","3.28K","-1.56%"
"Feb 17, 2022","640","640","640","630","6.85K","0.00%"
"Feb 16, 2022","640","640","640","639","3.52K","0.47%"
"Feb 15, 2022","637","638","638","637","7.85K","-0.31%"
"Feb 14, 2022","639","640","640","639","0.25K","-0.16%"
"Feb 11, 2022","640","642","642","640","5.89K","0.00%"
"Feb 10, 2022","640","645","645","640","0.17K","-1.54%"
"Feb 09, 2022","650","650","650","650","0.10K","1.56%"
"Feb 04, 2022","640","641","655","640","2.03K","0.00%"
"Feb 03, 2022","640","640","640","640","0.12K","0.00%"
"Feb 02, 2022","640","648","648","640","1.16K","-1.54%"
"Feb 01, 2022","650","651","655","646","0.49K","-0.76%"
"Jan 31, 2022","655","655","655","655","0.41K","-1.06%"
"Jan 28, 2022","662","662","662","662","7.23K","0.00%"
"Jan 26, 2022","662","668","668","662","2.16K","-0.90%"
"Jan 25, 2022","668","646","668","646","1.21K","0.91%"
"Jan 21, 2022","662","662","662","662","0.33K","0.00%"
"Jan 20, 2022","662","662","665","662","5.75K","-0.15%"
"Jan 19, 2022","663","663","663","663","0.01K","0.15%"
"Jan 18, 2022","662","662","670","662","8.56K","0.00%"
"Jan 17, 2022","662","658","662","658","4.03K","0.62%"
"Jan 14, 2022","658","658","658","658","1.79K","1.22%"
"Jan 13, 2022","650","641","650","641","5.02K","1.56%"
"Jan 10, 2022","640","640","640","640","0.03K","-2.74%"
"Jan 07, 2022","658","650","658","649","1.03K","1.39%"
"Jan 06, 2022","649","650","650","649","0.10K","2.20%"
"Jan 05, 2022","635","635","635","635","1.27K","0.63%"
"Jan 03, 2022","631","631","631","631","3.00K","-2.47%"
"Dec 31, 2021","647","631","647","631","12.92K","1.09%"
"Dec 30, 2021","640","640","640","640","0.02K","0.00%"
"Dec 29, 2021","640","623","640","623","1.06K","0.00%"
"Dec 28, 2021","640","640","640","640","0.05K","2.84%"
"Dec 27, 2021","622","624","624","622","0.20K","0.00%"
"Dec 24, 2021","622","622","622","622","0.15K","0.00%"
"Dec 23, 2021","622","621","622","621","4.06K","0.32%"
"Dec 22, 2021","620","630","630","620","2.53K","-1.43%"
"Dec 21, 2021","629","630","632","629","0.15K","-0.94%"
"Dec 20, 2021","635","635","635","632","0.10K","0.79%"
"Dec 17, 2021","630","630","630","630","3.94K","0.00%"
"Dec 16, 2021","630","630","630","627","6.11K","0.00%"
"Dec 15, 2021","630","630","630","625","0.64K","-0.79%"
"Dec 14, 2021","635","631","635","630","0.74K","0.00%"
"Dec 13, 2021","635","635","635","635","16.00K","1.60%"
"Dec 10, 2021","625","630","630","625","0.83K","-0.79%"
"Dec 09, 2021","630","630","630","629","3.39K","0.32%"
"Dec 08, 2021","628","645","645","628","0.00K","-0.32%"
"Dec 03, 2021","630","631","635","630","0.17K","0.00%"
"Dec 02, 2021","630","644","644","630","0.19K","0.00%"
"Dec 01, 2021","630","635","635","630","0.04K","-0.77%"
"Nov 29, 2021","635","635","635","635","0.01K","1.00%"
"Nov 26, 2021","629","641","645","629","5.76K","-5.88%"
"Nov 23, 2021","668","668","668","668","0.02K","3.57%"
"Nov 22, 2021","645","645","645","645","0.00K","0.78%"
"Nov 19, 2021","640","658","658","640","0.08K","0.00%"
"Nov 17, 2021","641","642","642","640","3.23K","0.00%"
"Nov 16, 2021","640","655","655","640","7.13K","-4.48%"
"Nov 12, 2021","670","670","670","670","0.04K","1.52%"
"Nov 11, 2021","660","679","679","660","2.04K","0.00%"
"Nov 10, 2021","660","660","660","660","0.01K","-0.30%"
"Nov 09, 2021","662","679","679","662","0.09K","-0.75%"
"Nov 05, 2021","667","667","667","667","0.03K","-0.45%"
"Nov 02, 2021","670","671","674","666","1.16K","-2.05%"
"Oct 29, 2021","684","675","684","671","26.22K","2.47%"
"Oct 28, 2021","668","672","672","667","0.33K","-1.84%"
"Oct 27, 2021","680","680","686","670","15.75K","-0.95%"
"Oct 26, 2021","687","662","687","662","0.78K","3.86%"
"Oct 22, 2021","661","689","689","660","4.99K","-1.50%"
"Oct 21, 2021","671","680","687","671","0.08K","0.16%"
"Oct 18, 2021","670","666","670","666","0.12K","0.75%"
"Oct 15, 2021","665","687","688","665","0.45K","-3.34%"
"Oct 14, 2021","688","688","688","688","0.05K","0.00%"
"Oct 13, 2021","688","679","688","679","0.02K","1.33%"
"Oct 12, 2021","679","679","679","679","0.02K","2.88%"
"Oct 08, 2021","660","657","660","656","0.08K","0.61%"
"Oct 07, 2021","656","656","656","656","0.02K","0.77%"
"Oct 05, 2021","651","670","670","651","1.25K","-2.85%"
"Oct 04, 2021","670","670","670","670","0.72K","-0.34%"
"Oct 01, 2021","672","680","680","672","0.36K","-1.12%"
"Sep 30, 2021","680","685","685","680","0.06K","-0.73%"
"Sep 28, 2021","685","685","685","685","0.05K","0.29%"
"Sep 27, 2021","683","680","685","680","12.22K","0.44%"
"Sep 24, 2021","680","680","680","680","0.01K","0.00%"
"Sep 22, 2021","680","680","680","680","0.05K","0.00%"
"Sep 20, 2021","680","683","695","678","0.08K","-1.59%"
"Sep 17, 2021","691","695","700","691","9.35K","1.13%"
"Sep 15, 2021","683","683","683","683","0.01K","-2.39%"
"Sep 10, 2021","700","700","700","700","1.00K","0.00%"
"Sep 09, 2021","700","704","704","700","4.16K","-0.43%"
"Sep 08, 2021","703","700","703","700","0.03K","0.43%"
"Sep 07, 2021","700","681","700","681","13.85K","2.94%"
"Sep 06, 2021","680","670","680","670","5.51K","1.49%"
"Sep 02, 2021","670","670","670","670","2.35K","0.00%"
"Aug 31, 2021","670","671","675","662","2.52K","-0.16%"
"Aug 30, 2021","671","680","680","671","0.03K","-1.31%"
"Aug 27, 2021","680","661","680","661","1.44K","1.19%"
"Aug 26, 2021","672","678","678","672","0.15K","3.05%"
"Aug 25, 2021","652","652","652","652","0.02K","-3.54%"
"Aug 24, 2021","676","666","676","666","2.47K","0.60%"
"Aug 23, 2021","672","672","672","672","0.75K","3.38%"
"Aug 19, 2021","650","640","650","640","0.13K","0.00%"
"Aug 18, 2021","650","654","654","650","0.60K","-0.35%"
"Aug 16, 2021","652","655","655","652","0.64K","-2.35%"
"Aug 13, 2021","668","668","668","668","0.76K","2.45%"
"Aug 12, 2021","652","652","652","652","0.00K","-1.21%"
"Aug 11, 2021","660","650","660","630","28.46K","1.54%"
"Aug 09, 2021","650","624","650","624","20.60K","3.17%"
"Aug 05, 2021","630","620","630","620","2.17K","1.61%"
"Aug 04, 2021","620","634","634","620","0.26K","-2.21%"
"Aug 03, 2021","634","625","634","625","0.20K","0.63%"
"Aug 02, 2021","630","620","630","620","1.60K","1.61%"
"Jul 29, 2021","620","620","620","620","0.08K","0.81%"
"Jul 28, 2021","615","620","620","615","0.13K","0.00%"
"Jul 27, 2021","615","615","615","615","0.00K","0.20%"
"Jul 20, 2021","614","614","614","614","0.00K","-1.41%"
"Jul 19, 2021","623","623","623","623","0.02K","0.00%"
"Jul 16, 2021","623","614","623","614","1.51K","1.80%"
"Jul 15, 2021","612","616","616","612","0.70K","-0.57%"
"Jul 14, 2021","616","625","625","615","2.25K","-1.52%"
"Jul 12, 2021","625","625","625","625","0.01K","1.63%"
"Jul 08, 2021","615","615","615","601","1.82K","0.00%"
"Jul 07, 2021","615","619","619","615","0.04K","-0.81%"
"Jul 06, 2021","620","620","620","620","0.27K","0.00%"
"Jul 05, 2021","620","630","630","620","2.69K","0.00%"
"Jul 02, 2021","620","625","625","620","1.88K","-0.32%"
"Jul 01, 2021","622","623","623","622","0.01K","-0.48%"
"Jun 30, 2021","625","625","625","625","0.00K","-0.16%"
"Jun 29, 2021","626","626","626","626","0.00K","0.00%"
"Jun 28, 2021","626","627","627","626","0.01K","-0.60%"
"Jun 25, 2021","630","624","630","624","8.01K","1.12%"
"Jun 24, 2021","623","634","635","623","0.02K","-1.80%"
"Jun 23, 2021","634","634","634","634","0.02K","1.83%"
"Jun 22, 2021","623","625","625","622","0.38K","-0.48%"
"Jun 21, 2021","626","629","635","626","3.88K","-1.42%"
"Jun 18, 2021","635","630","635","630","7.88K","0.79%"
"Jun 17, 2021","630","630","630","630","5.50K","0.00%"
"Jun 16, 2021","630","635","635","630","1.30K","-0.79%"
"Jun 15, 2021","635","633","636","630","5.76K","-1.24%"
"Jun 14, 2021","643","633","643","633","0.01K","-0.31%"
"Jun 11, 2021","645","635","647","635","0.63K","1.74%"
"Jun 10, 2021","634","639","639","634","0.09K","-0.94%"
"Jun 09, 2021","640","639","640","638","0.35K","0.16%"
"Jun 08, 2021","639","640","640","639","0.11K","-2.14%"
"Jun 07, 2021","653","650","653","638","1.93K","0.46%"
"Jun 04, 2021","650","655","656","650","0.78K","-0.91%"
"Jun 03, 2021","656","656","657","656","0.33K","-0.61%"
"Jun 02, 2021","660","656","660","655","2.14K","0.76%"
"Jun 01, 2021","655","656","656","655","0.34K","-0.15%"
"May 31, 2021","656","656","665","656","1.18K","-0.15%"
"May 28, 2021","657","667","667","657","1.26K","-1.53%"
"May 27, 2021","667","670","670","667","0.02K","-0.42%"
"May 26, 2021","670","679","679","667","1.11K","-1.47%"
"May 25, 2021","680","671","680","665","0.09K","0.00%"
"May 24, 2021","680","680","690","680","0.01K","-0.57%"
"May 21, 2021","684","662","684","662","0.01K","3.62%"
"May 20, 2021","660","687","687","657","78.72K","-6.20%"
"May 19, 2021","704","710","728","704","108.76K","-4.00%"
"May 18, 2021","733","733","733","733","0.00K","0.69%"
"May 17, 2021","728","700","728","700","11.44K","3.99%"
"May 12, 2021","700","705","708","695","11.33K","-0.71%"
"May 11, 2021","705","705","705","705","1.00K","0.00%"
"May 10, 2021","705","695","705","695","0.20K","1.44%"
"May 07, 2021","695","710","710","695","6.75K","-1.70%"
"May 06, 2021","707","708","715","707","9.82K","-0.11%"
"May 05, 2021","708","705","708","705","3.52K","1.11%"
"May 04, 2021","700","702","702","700","8.08K","0.00%"
"May 03, 2021","700","707","708","700","3.44K","0.57%"
"Apr 30, 2021","696","696","696","696","5.22K","0.00%"
"Apr 29, 2021","696","696","696","696","1.50K","-1.28%"
"Apr 28, 2021","705","707","707","695","6.50K","1.44%"
"Apr 27, 2021","695","707","707","695","0.77K","0.00%"
"Apr 26, 2021","695","696","696","695","8.10K","-1.84%"
"Apr 23, 2021","708","696","708","695","0.09K","-0.14%"
"Apr 22, 2021","709","709","709","708","0.09K","2.01%"
"Apr 21, 2021","695","697","697","695","9.50K","-2.10%"
"Apr 20, 2021","710","715","715","700","16.67K","1.41%"
"Apr 19, 2021","700","700","700","700","0.20K","-1.41%"
"Apr 16, 2021","710","710","710","710","0.00K","0.00%"
"Apr 15, 2021","710","710","710","710","0.19K","0.00%"
"Apr 14, 2021","710","710","722","710","1.92K","0.00%"
"Apr 13, 2021","710","710","710","710","0.07K","-0.28%"
"Apr 12, 2021","712","714","714","710","0.12K","-0.28%"
"Apr 09, 2021","714","723","723","714","2.63K","-0.70%"
"Apr 08, 2021","719","717","725","717","1.73K","-0.14%"
"Apr 07, 2021","720","717","720","717","0.16K","0.42%"
"Apr 06, 2021","717","729","735","717","24.28K","-0.42%"
"Apr 05, 2021","720","728","729","720","0.57K","0.70%"
"Apr 02, 2021","715","720","720","715","0.37K","-0.69%"
"Apr 01, 2021","720","715","734","715","8.98K","1.42%"
"Mar 31, 2021","710","708","710","700","0.75K","1.41%"
"Mar 30, 2021","700","685","710","685","1.38K","0.00%"
