"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2022","270.00","272.00","274.95","270.00","51.27K","-0.37%"
"Mar 03, 2022","271.00","273.00","273.50","271.00","14.98K","-1.09%"
"Mar 02, 2022","274.00","272.60","279.00","272.60","5.91K","-0.36%"
"Mar 01, 2022","275.00","271.00","279.95","271.00","20.51K","0.00%"
"Feb 28, 2022","275.00","275.00","279.00","275.00","83.25K","0.00%"
"Feb 25, 2022","275.00","270.50","284.00","270.50","29.56K","1.66%"
"Feb 24, 2022","270.50","286.50","288.00","270.20","147.86K","-5.42%"
"Feb 23, 2022","286.00","288.00","288.00","285.00","184.86K","0.35%"
"Feb 22, 2022","285.00","286.00","286.00","282.00","10.91K","-0.35%"
"Feb 21, 2022","286.00","288.00","288.00","286.00","24.31K","-0.69%"
"Feb 18, 2022","288.00","288.05","288.05","287.95","43.85K","0.00%"
"Feb 17, 2022","288.00","288.00","288.00","288.00","7.36K","0.00%"
"Feb 16, 2022","288.00","288.05","288.50","288.00","21.62K","-0.69%"
"Feb 15, 2022","290.00","290.00","290.00","285.60","27.61K","0.00%"
"Feb 14, 2022","290.00","295.00","295.00","290.00","28.17K","-1.54%"
"Feb 11, 2022","294.55","294.05","295.00","294.05","29.24K","-0.15%"
"Feb 10, 2022","295.00","294.00","295.00","293.00","6.60K","0.85%"
"Feb 09, 2022","292.50","295.00","295.00","292.50","35.08K","-0.51%"
"Feb 08, 2022","294.00","291.00","294.00","291.00","22.67K","0.02%"
"Feb 07, 2022","293.95","290.60","293.95","290.60","9.68K","0.67%"
"Feb 04, 2022","292.00","292.00","292.00","292.00","33.84K","0.00%"
"Feb 03, 2022","292.00","289.50","292.00","289.50","84.26K","1.21%"
"Feb 02, 2022","288.50","286.00","288.50","286.00","109.69K","0.87%"
"Feb 01, 2022","286.00","287.50","287.50","286.00","17.38K","-0.35%"
"Jan 31, 2022","287.00","287.00","287.00","287.00","0.01K","0.00%"
"Jan 28, 2022","287.00","287.10","288.00","286.05","34.59K","-0.03%"
"Jan 27, 2022","287.10","288.00","288.00","287.10","3.88K","0.02%"
"Jan 26, 2022","287.05","287.00","288.00","287.00","11.28K","-0.33%"
"Jan 25, 2022","288.00","289.95","289.95","287.50","43.31K","0.00%"
"Jan 24, 2022","288.00","288.00","288.00","287.00","19.14K","0.00%"
"Jan 21, 2022","288.00","289.00","289.00","288.00","211.22K","-0.05%"
"Jan 20, 2022","288.15","288.00","289.00","288.00","26.94K","0.05%"
"Jan 19, 2022","288.00","290.00","290.00","288.00","42.74K","-0.35%"
"Jan 18, 2022","289.00","289.10","289.10","289.00","24.63K","0.02%"
"Jan 17, 2022","288.95","293.00","293.00","288.00","99.64K","-0.36%"
"Jan 14, 2022","290.00","286.95","290.00","285.00","160.69K","1.05%"
"Jan 13, 2022","287.00","285.00","287.00","280.00","28.31K","0.35%"
"Jan 12, 2022","286.00","286.00","287.00","286.00","29.20K","0.70%"
"Jan 10, 2022","284.00","285.90","286.00","284.00","11.06K","0.00%"
"Jan 07, 2022","284.00","280.95","284.90","280.95","48.42K","1.09%"
"Jan 06, 2022","280.95","280.95","280.95","278.30","28.08K","1.06%"
"Jan 05, 2022","278.00","281.85","281.85","278.00","15.68K","0.00%"
"Jan 04, 2022","278.00","277.05","280.00","277.05","0.80K","0.00%"
"Jan 03, 2022","278.00","278.00","279.00","278.00","19.66K","-1.05%"
"Dec 31, 2021","280.95","280.50","280.95","279.00","40.04K","0.18%"
"Dec 30, 2021","280.45","280.20","280.45","279.05","22.45K","0.16%"
"Dec 29, 2021","280.00","278.00","280.00","278.00","16.51K","0.00%"
"Dec 28, 2021","280.00","277.60","280.00","277.60","25.96K","0.02%"
"Dec 27, 2021","279.95","278.50","279.95","278.00","8.28K","0.52%"
"Dec 24, 2021","278.50","278.00","278.50","278.00","17.73K","-0.52%"
"Dec 23, 2021","279.95","279.95","279.95","277.50","10.98K","0.52%"
"Dec 22, 2021","278.50","278.00","279.95","278.00","10.13K","-0.52%"
"Dec 21, 2021","279.95","278.00","279.95","278.00","7.67K","1.05%"
"Dec 20, 2021","277.05","280.00","280.00","277.05","17.24K","-1.05%"
"Dec 17, 2021","280.00","277.00","280.00","277.00","79.17K","0.00%"
"Dec 16, 2021","280.00","277.00","280.00","277.00","5.92K","1.08%"
"Dec 15, 2021","277.00","277.00","277.00","277.00","18.63K","0.00%"
"Dec 14, 2021","277.00","280.00","280.00","277.00","216.33K","-1.07%"
"Dec 13, 2021","280.00","280.00","280.50","278.00","20.98K","0.00%"
"Dec 10, 2021","280.00","280.00","280.50","280.00","177.60K","0.02%"
"Dec 09, 2021","279.95","280.00","280.00","278.50","50.27K","-0.02%"
"Dec 08, 2021","280.00","276.70","280.00","276.60","51.69K","0.00%"
"Dec 07, 2021","280.00","279.45","280.00","276.10","49.66K","1.63%"
"Dec 06, 2021","275.50","276.00","276.00","275.50","3.36K","-0.56%"
"Dec 03, 2021","277.05","279.95","279.95","277.00","17.40K","-0.70%"
"Dec 02, 2021","279.00","276.10","279.00","276.10","29.64K","-0.36%"
"Dec 01, 2021","280.00","275.00","280.00","275.00","17.06K","1.45%"
"Nov 30, 2021","276.00","279.90","279.90","276.00","93.26K","-0.18%"
"Nov 29, 2021","276.50","275.00","276.50","273.00","4.26K","-0.25%"
"Nov 26, 2021","277.20","278.10","278.20","277.05","53.35K","-1.32%"
"Nov 25, 2021","280.90","279.50","280.90","277.05","3.64K","0.00%"
"Nov 24, 2021","280.90","279.50","280.90","279.50","59.38K","0.50%"
"Nov 23, 2021","279.50","280.00","280.00","279.50","27.88K","-0.18%"
