"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2022","200.00","200.00","200.05","196.00","56.04K","0.00%"
"Mar 03, 2022","200.00","198.00","201.95","198.00","0.35K","-1.04%"
"Mar 02, 2022","202.10","200.00","202.10","198.00","9.02K","1.05%"
"Mar 01, 2022","200.00","198.20","200.00","198.00","1.46K","0.00%"
"Feb 28, 2022","200.00","203.75","204.00","200.00","1.24K","-0.74%"
"Feb 25, 2022","201.50","198.00","204.00","198.00","17.59K","1.77%"
"Feb 24, 2022","198.00","205.00","205.00","197.50","65.87K","-5.71%"
"Feb 23, 2022","210.00","205.05","210.00","205.05","1.49K","1.69%"
"Feb 22, 2022","206.50","200.10","206.95","200.00","23.46K","-0.24%"
"Feb 21, 2022","207.00","206.20","207.90","206.00","0.77K","0.00%"
"Feb 18, 2022","207.00","210.00","210.00","206.50","6.90K","0.22%"
"Feb 17, 2022","206.55","210.05","211.00","206.55","12.48K","-2.11%"
"Feb 16, 2022","211.00","216.95","216.95","211.00","60.74K","-0.57%"
"Feb 15, 2022","212.20","215.00","215.05","212.00","25.71K","-2.66%"
"Feb 14, 2022","218.00","219.00","219.05","218.00","0.97K","-0.91%"
"Feb 11, 2022","220.00","224.00","224.00","220.00","15.60K","-1.35%"
"Feb 10, 2022","223.00","223.00","224.00","220.00","5.73K","0.00%"
"Feb 09, 2022","223.00","220.20","224.00","220.20","1.06K","0.00%"
"Feb 08, 2022","223.00","224.00","225.00","223.00","26.91K","1.36%"
"Feb 07, 2022","220.00","218.50","220.00","215.00","17.23K","0.92%"
"Feb 04, 2022","218.00","216.00","218.00","216.00","3.19K","0.93%"
"Feb 03, 2022","216.00","213.70","216.00","209.00","5.56K","0.98%"
"Feb 02, 2022","213.90","212.00","213.90","210.00","3.05K","3.33%"
"Feb 01, 2022","207.00","217.00","217.00","207.00","30.37K","-4.14%"
"Jan 31, 2022","215.95","208.00","217.00","208.00","35.18K","5.47%"
"Jan 28, 2022","204.75","195.95","204.75","195.00","177.79K","5.98%"
"Jan 27, 2022","193.20","194.90","197.95","193.20","0.28K","0.10%"
"Jan 26, 2022","193.00","193.00","193.50","192.65","0.72K","-0.03%"
"Jan 25, 2022","193.05","195.50","195.50","192.05","5.78K","-1.25%"
"Jan 24, 2022","195.50","196.95","198.00","195.50","0.52K","0.00%"
"Jan 21, 2022","195.50","194.75","197.00","194.75","106.38K","0.39%"
"Jan 20, 2022","194.75","193.00","194.75","193.00","1.02M","0.91%"
"Jan 19, 2022","193.00","192.75","193.00","192.05","21.19K","0.13%"
"Jan 18, 2022","192.75","196.40","196.40","192.75","16.03K","-1.15%"
"Jan 17, 2022","195.00","197.90","197.90","192.60","50.49K","-1.52%"
"Jan 14, 2022","198.00","188.00","198.00","186.50","63.58K","5.07%"
"Jan 13, 2022","188.45","188.00","188.50","188.00","0.65K","0.24%"
"Jan 12, 2022","188.00","188.45","188.45","188.00","0.60K","0.00%"
"Jan 10, 2022","188.00","186.15","188.50","186.10","0.59K","-0.45%"
"Jan 07, 2022","188.85","185.60","188.90","185.15","0.38K","0.99%"
"Jan 05, 2022","187.00","186.00","187.00","186.00","0.45K","0.54%"
"Jan 04, 2022","186.00","185.00","186.00","185.00","1.51K","-1.06%"
"Dec 31, 2021","188.00","186.05","188.00","186.05","114.52K","0.00%"
"Dec 30, 2021","188.00","187.00","188.00","187.00","7.80K","0.00%"
"Dec 29, 2021","188.00","188.00","188.00","188.00","290.43K","-0.27%"
"Dec 28, 2021","188.50","186.00","188.50","186.00","7.15K","1.34%"
"Dec 27, 2021","186.00","185.15","186.00","185.05","6.89K","-0.08%"
"Dec 24, 2021","186.15","186.05","186.15","186.05","5.47K","0.05%"
"Dec 23, 2021","186.05","186.00","186.05","186.00","11.00K","0.00%"
"Dec 22, 2021","186.05","186.05","186.05","186.00","6.25K","-1.04%"
"Dec 21, 2021","188.00","186.00","188.00","186.00","15.73K","1.08%"
"Dec 20, 2021","186.00","186.00","188.00","186.00","2.09K","0.00%"
"Dec 17, 2021","186.00","186.00","186.00","186.00","4.74K","0.00%"
"Dec 16, 2021","186.00","186.10","188.00","186.00","0.60K","-0.53%"
"Dec 15, 2021","187.00","186.00","188.60","186.00","1.30K","-0.51%"
"Dec 14, 2021","187.95","186.00","187.95","186.00","2.53K","1.02%"
"Dec 13, 2021","186.05","186.00","187.00","186.00","151.80K","-0.51%"
"Dec 10, 2021","187.00","186.50","187.00","186.00","23.54K","0.51%"
"Dec 09, 2021","186.05","186.00","186.50","186.00","16.10K","0.03%"
"Dec 08, 2021","186.00","186.00","186.40","185.10","11.10K","0.00%"
"Dec 07, 2021","186.00","186.00","186.00","186.00","14.03K","0.00%"
"Dec 06, 2021","186.00","187.00","187.00","185.00","7.89K","0.00%"
"Dec 03, 2021","186.00","187.00","187.50","186.00","22.01K","-0.80%"
"Dec 02, 2021","187.50","184.10","187.50","184.10","1.25K","1.35%"
"Dec 01, 2021","185.00","187.00","187.00","185.00","10.00K","0.49%"
"Nov 30, 2021","184.10","185.00","185.00","184.00","47.66K","-0.49%"
"Nov 29, 2021","185.00","185.00","185.05","184.00","1.60K","-1.60%"
"Nov 26, 2021","188.00","188.00","188.00","188.00","24.55K","1.57%"
"Nov 25, 2021","185.10","185.20","185.20","185.10","0.12K","-0.96%"
"Nov 24, 2021","186.90","185.00","186.90","185.00","36.76K","0.48%"
"Nov 23, 2021","186.00","185.00","189.00","185.00","71.04K","-1.25%"
"Nov 22, 2021","188.35","186.30","188.35","185.00","5.86K","1.26%"
"Nov 19, 2021","186.00","186.05","186.05","186.00","7.50K","0.00%"
"Nov 17, 2021","186.00","185.55","186.00","185.55","72.55K","0.00%"
"Nov 16, 2021","186.00","186.00","186.00","186.00","31.93K","0.00%"
"Nov 15, 2021","186.00","186.00","186.00","186.00","1.85K","0.00%"
"Nov 12, 2021","186.00","185.50","189.95","185.50","3.29K","0.27%"
"Nov 11, 2021","185.50","186.00","187.00","185.50","0.76K","-0.27%"
"Nov 10, 2021","186.00","186.00","187.00","186.00","0.80K","-1.04%"
"Nov 09, 2021","187.95","188.00","188.00","185.50","0.04K","-1.05%"
"Nov 08, 2021","189.95","188.00","189.95","188.00","0.25K","2.40%"
"Nov 05, 2021","185.50","186.00","186.00","185.00","5.10K","-0.27%"
"Nov 04, 2021","186.00","185.00","188.00","184.00","1.74K","0.00%"
"Nov 03, 2021","186.00","186.00","186.00","185.00","4.35K","-0.53%"
"Nov 02, 2021","187.00","186.00","187.00","186.00","276.82K","0.54%"
"Nov 01, 2021","186.00","189.95","189.95","186.00","9.30K","0.00%"
"Oct 29, 2021","186.00","183.45","191.30","183.45","2.22M","1.36%"
"Oct 28, 2021","183.50","183.50","183.50","180.00","21.00K","0.00%"
"Oct 27, 2021","183.50","180.00","184.90","179.55","26.09K","1.66%"
"Oct 26, 2021","180.50","176.50","180.50","175.50","42.03K","2.27%"
"Oct 25, 2021","176.50","174.50","176.50","174.50","19.65K","0.51%"
"Oct 22, 2021","175.60","174.50","175.60","174.50","11.27K","0.06%"
"Oct 21, 2021","175.50","175.00","175.50","175.00","30.84K","0.29%"
"Oct 18, 2021","175.00","174.00","175.00","174.00","22.21K","0.00%"
"Oct 15, 2021","175.00","174.00","175.00","174.00","30.17K","0.00%"
"Oct 14, 2021","175.00","175.00","175.00","174.95","15.09K","0.00%"
"Oct 13, 2021","175.00","174.10","175.00","174.00","2.46K","0.29%"
"Oct 11, 2021","174.50","176.50","176.50","174.10","9.98K","-0.85%"
"Oct 08, 2021","176.00","176.00","176.00","176.00","6.74K","0.00%"
"Oct 06, 2021","176.00","173.50","176.00","172.00","4.81K","0.57%"
"Oct 05, 2021","175.00","175.00","175.00","175.00","1.16K","0.00%"
"Oct 04, 2021","175.00","177.80","177.80","173.00","20.85K","0.00%"
"Oct 01, 2021","175.00","175.10","175.10","174.50","22.96K","-0.57%"
"Sep 30, 2021","176.00","175.00","176.00","174.50","122.15K","0.57%"
"Sep 29, 2021","175.00","176.00","176.00","173.00","42.63K","-0.51%"
"Sep 28, 2021","175.90","175.00","175.95","175.00","0.65K","-0.03%"
"Sep 27, 2021","175.95","176.00","176.00","174.00","23.07K","0.54%"
"Sep 24, 2021","175.00","176.00","176.00","174.00","43.40K","0.57%"
"Sep 23, 2021","174.00","174.50","175.50","174.00","94.99K","-0.57%"
"Sep 22, 2021","175.00","175.00","175.00","174.00","35.67K","0.00%"
"Sep 21, 2021","175.00","176.00","176.00","174.00","0.47K","0.00%"
"Sep 20, 2021","175.00","175.35","175.40","175.00","3.17K","0.55%"
"Sep 17, 2021","174.05","175.45","175.45","174.00","24.43K","0.00%"
"Sep 16, 2021","174.05","174.50","175.00","173.00","15.02K","-0.54%"
"Sep 15, 2021","175.00","176.00","176.00","175.00","8.32K","-1.13%"
"Sep 14, 2021","177.00","176.95","177.00","176.95","0.21K","0.00%"
"Sep 13, 2021","177.00","175.10","177.00","174.05","0.66K","0.00%"
"Sep 10, 2021","177.00","178.90","178.90","175.05","2.42K","0.57%"
"Sep 09, 2021","176.00","173.80","178.90","173.80","80.57K","1.15%"
"Sep 08, 2021","174.00","175.75","176.35","173.90","5.48K","-0.29%"
"Sep 07, 2021","174.50","174.00","174.50","174.00","6.21K","-0.29%"
"Sep 06, 2021","175.00","177.00","177.00","173.85","2.26K","0.32%"
"Sep 03, 2021","174.45","173.50","174.45","173.25","8.30K","-0.31%"
"Sep 02, 2021","175.00","173.00","175.00","173.00","0.01K","0.11%"
"Sep 01, 2021","174.80","174.80","174.80","174.80","3.70K","0.46%"
"Aug 31, 2021","174.00","174.00","174.00","174.00","5.85K","-0.57%"
"Aug 30, 2021","175.00","173.10","176.50","173.10","0.17K","0.00%"
"Aug 27, 2021","175.00","174.00","175.00","174.00","22.84K","0.00%"
"Aug 26, 2021","175.00","172.25","175.00","172.25","6.64K","0.00%"
"Aug 25, 2021","175.00","175.45","175.45","175.00","0.02K","0.57%"
"Aug 24, 2021","174.00","171.10","177.95","171.10","3.04K","-1.92%"
"Aug 23, 2021","177.40","170.00","177.40","170.00","3.40K","3.74%"
"Aug 19, 2021","171.00","171.00","171.00","170.00","23.64K","-0.58%"
"Aug 18, 2021","172.00","171.05","172.00","171.00","1.41K","-0.03%"
"Aug 17, 2021","172.05","172.05","172.05","172.05","0.58K","-0.43%"
"Aug 16, 2021","172.80","172.80","172.80","172.80","0.15K","-0.12%"
"Aug 13, 2021","173.00","169.00","173.00","169.00","15.16K","1.76%"
"Aug 12, 2021","170.00","170.05","170.50","170.00","5.55K","-0.58%"
"Aug 11, 2021","171.00","171.00","171.00","171.00","0.09K","0.00%"
"Aug 09, 2021","171.00","170.90","171.00","170.90","0.16K","0.06%"
"Aug 06, 2021","170.90","169.00","170.90","169.00","44.65K","1.12%"
"Aug 05, 2021","169.00","169.00","169.00","168.65","1.04K","0.00%"
"Aug 04, 2021","169.00","171.00","171.00","168.50","60.30K","-0.59%"
"Aug 03, 2021","170.00","170.00","170.00","167.00","15.05K","1.80%"
"Aug 02, 2021","167.00","170.00","170.00","167.00","4.06K","-1.76%"
"Jul 28, 2021","170.00","167.10","170.00","167.10","0.01K","0.59%"
"Jul 27, 2021","169.00","167.00","169.00","167.00","0.32K","0.60%"
"Jul 26, 2021","168.00","169.00","169.00","166.00","2.29K","0.60%"
"Jul 23, 2021","167.00","168.00","168.00","167.00","5.95K","0.91%"
"Jul 19, 2021","165.50","167.00","168.00","165.50","3.29K","-1.19%"
"Jul 16, 2021","167.50","166.85","168.95","166.85","6.48K","0.30%"
"Jul 15, 2021","167.00","167.00","168.00","167.00","0.35K","-1.18%"
"Jul 14, 2021","169.00","168.05","169.00","168.05","0.59K","-1.17%"
"Jul 13, 2021","171.00","171.00","171.00","167.00","5.25K","0.59%"
"Jul 12, 2021","170.00","170.00","170.00","170.00","5.87K","0.00%"
"Jul 09, 2021","170.00","170.00","170.00","170.00","6.02K","-1.16%"
"Jul 08, 2021","172.00","172.00","172.00","172.00","0.03K","1.78%"
"Jul 07, 2021","169.00","172.00","172.00","169.00","9.79K","0.30%"
"Jul 06, 2021","168.50","171.00","171.00","168.50","8.22K","-2.03%"
"Jul 05, 2021","172.00","169.00","172.00","169.00","25.55K","0.00%"
"Jul 02, 2021","172.00","169.00","172.00","168.95","20.03K","1.78%"
"Jul 01, 2021","169.00","169.00","169.00","169.00","2.01K","0.18%"
"Jun 30, 2021","168.70","168.80","168.80","165.50","3.42K","-0.47%"
"Jun 29, 2021","169.50","165.20","169.50","165.20","0.22K","-0.26%"
"Jun 28, 2021","169.95","166.50","169.95","166.50","0.54K","0.86%"
"Jun 25, 2021","168.50","168.50","168.50","168.50","221.62K","0.00%"
"Jun 24, 2021","168.50","168.55","169.50","166.00","3.58K","-0.79%"
"Jun 23, 2021","169.85","168.20","169.85","168.20","133.38K","0.98%"
"Jun 22, 2021","168.20","166.00","168.40","165.50","363.76K","-1.00%"
"Jun 21, 2021","169.90","164.05","170.00","164.05","2.39K","1.13%"
"Jun 18, 2021","168.00","165.00","168.00","163.50","17.03K","1.88%"
"Jun 17, 2021","164.90","163.50","164.90","163.50","25.00K","0.79%"
"Jun 16, 2021","163.60","164.95","165.00","160.55","132.83K","0.06%"
"Jun 15, 2021","163.50","162.00","165.00","160.50","35.51K","0.00%"
"Jun 14, 2021","163.50","160.00","165.00","160.00","36.85K","2.16%"
"Jun 11, 2021","160.05","160.05","161.40","160.00","27.94K","-0.84%"
"Jun 10, 2021","161.40","160.05","161.45","160.00","22.41K","0.56%"
