"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2022","675.00","675.00","675.00","675.00","0.06K","0.00%"
"Feb 28, 2022","675.00","675.00","675.00","675.00","0.00K","-3.57%"
"Feb 24, 2022","700.00","700.00","700.00","700.00","0.01K","-0.71%"
"Feb 23, 2022","705.00","705.00","705.00","705.00","0.05K","0.71%"
"Feb 11, 2022","700.00","700.00","700.00","700.00","0.50K","-0.71%"
"Feb 09, 2022","705.00","705.00","705.00","705.00","0.42K","0.28%"
"Feb 07, 2022","703.00","703.00","703.00","703.00","0.00K","0.00%"
"Feb 04, 2022","703.00","703.00","703.00","703.00","0.12K","0.00%"
"Feb 03, 2022","703.00","703.00","703.00","703.00","0.01K","-0.99%"
"Feb 02, 2022","710.00","710.00","710.00","710.00","0.00K","1.28%"
"Feb 01, 2022","701.00","701.00","701.00","701.00","1.05K","0.86%"
"Jan 25, 2022","695.00","695.00","695.00","695.00","0.00K","2.06%"
"Jan 24, 2022","681.00","681.00","681.00","681.00","0.01K","3.97%"
"Jan 18, 2022","655.00","655.00","655.00","655.00","0.00K","0.00%"
"Jan 14, 2022","655.00","655.00","655.00","655.00","0.01K","3.94%"
"Jan 13, 2022","630.20","630.20","630.20","630.20","0.09K","3.99%"
"Jan 12, 2022","606.00","606.00","606.00","606.00","0.10K","-3.04%"
"Jan 07, 2022","625.00","625.00","625.00","625.00","1.64K","2.80%"
"Jan 06, 2022","608.00","608.00","608.00","608.00","0.02K","0.50%"
"Jan 05, 2022","605.00","605.00","605.00","605.00","7.15K","0.83%"
"Jan 03, 2022","600.00","600.00","600.00","600.00","0.09K","0.00%"
"Dec 31, 2021","600.00","600.00","600.00","600.00","0.01K","-0.33%"
"Dec 30, 2021","602.00","602.00","602.00","602.00","0.01K","0.00%"
"Dec 24, 2021","602.00","602.00","602.00","602.00","0.36K","0.17%"
"Dec 22, 2021","601.00","601.00","601.00","601.00","10.10K","0.00%"
"Dec 21, 2021","601.00","601.00","601.00","601.00","0.96K","1.01%"
"Dec 17, 2021","595.00","595.00","595.00","595.00","0.50K","1.71%"
"Dec 16, 2021","585.00","585.00","585.00","585.00","0.00K","0.86%"
"Dec 14, 2021","580.00","580.00","580.00","580.00","0.60K","-2.36%"
"Dec 10, 2021","594.00","594.00","594.00","594.00","5.03K","0.68%"
"Dec 07, 2021","590.00","590.00","590.00","590.00","0.10K","0.00%"
"Dec 06, 2021","590.00","590.00","590.00","590.00","0.05K","0.00%"
"Dec 01, 2021","590.00","590.00","590.00","590.00","0.00K","0.00%"
"Nov 29, 2021","590.00","590.00","590.00","590.00","0.00K","0.00%"
"Nov 26, 2021","590.00","590.00","590.00","590.00","0.28K","-0.03%"
"Nov 24, 2021","590.20","590.20","590.20","590.20","0.05K","0.00%"
"Nov 17, 2021","590.20","590.20","590.20","590.20","1.45K","0.02%"
"Nov 16, 2021","590.10","590.10","590.10","590.10","2.73K","0.00%"
"Nov 03, 2021","590.10","590.10","590.10","590.10","0.00K","0.02%"
"Nov 02, 2021","590.00","590.00","590.00","590.00","0.18K","0.00%"
"Oct 29, 2021","590.00","590.00","590.00","590.00","3.88K","1.72%"
"Oct 28, 2021","580.00","580.00","580.00","580.00","3.10K","1.42%"
"Oct 27, 2021","571.90","571.90","571.90","571.90","2.33K","3.98%"
"Oct 26, 2021","550.00","550.00","550.00","550.00","0.11K","-3.71%"
"Oct 25, 2021","571.20","571.20","571.20","571.20","0.20K","-3.95%"
"Oct 21, 2021","594.70","594.70","594.70","594.70","0.00K","-0.22%"
"Oct 14, 2021","596.00","596.00","596.00","596.00","0.00K","1.02%"
"Oct 13, 2021","590.00","590.00","590.00","590.00","0.00K","0.00%"
"Oct 12, 2021","590.00","590.00","590.00","590.00","0.00K","1.72%"
"Oct 11, 2021","580.00","580.00","580.00","580.00","0.00K","1.40%"
"Oct 08, 2021","572.00","572.00","572.00","572.00","0.00K","1.24%"
"Oct 07, 2021","565.00","565.00","565.00","565.00","0.04K","-1.74%"
"Oct 06, 2021","575.00","575.00","575.00","575.00","4.88K","0.88%"
"Oct 05, 2021","570.00","570.00","570.00","570.00","1.99K","1.99%"
"Oct 04, 2021","558.90","558.90","558.90","558.90","0.32K","1.99%"
"Oct 01, 2021","548.00","548.00","548.00","548.00","0.06K","1.86%"
"Sep 30, 2021","538.00","538.00","538.00","538.00","0.07K","0.56%"
"Sep 23, 2021","535.00","535.00","535.00","535.00","0.25K","0.00%"
"Sep 22, 2021","535.00","535.00","535.00","535.00","7.00K","0.94%"
"Sep 21, 2021","530.00","530.00","530.00","530.00","11.92K","1.92%"
"Sep 20, 2021","520.00","520.00","520.00","520.00","4.13K","-1.33%"
"Sep 15, 2021","527.00","527.00","527.00","527.00","0.75K","1.54%"
"Sep 14, 2021","519.00","519.00","519.00","519.00","0.01K","0.19%"
"Sep 13, 2021","518.00","518.00","518.00","518.00","0.00K","1.99%"
"Sep 10, 2021","507.90","507.90","507.90","507.90","10.10K","1.99%"
"Sep 08, 2021","498.00","498.00","498.00","498.00","0.00K","0.00%"
"Sep 06, 2021","498.00","498.00","498.00","498.00","0.02K","-0.15%"
"Sep 03, 2021","498.75","498.75","498.75","498.75","0.11K","1.99%"
"Sep 02, 2021","489.00","489.00","489.00","489.00","0.00K","1.88%"
"Sep 01, 2021","480.00","480.00","480.00","480.00","0.06K","0.00%"
"Aug 31, 2021","480.00","480.00","480.00","480.00","0.27K","1.05%"
"Aug 27, 2021","475.00","475.00","475.00","475.00","0.21K","0.37%"
"Aug 26, 2021","473.25","473.25","473.25","473.25","0.20K","1.99%"
"Aug 25, 2021","464.00","464.00","464.00","464.00","0.01K","0.43%"
"Aug 19, 2021","462.00","462.00","462.00","462.00","0.03K","-1.70%"
"Aug 18, 2021","470.00","470.00","470.00","470.00","0.02K","0.43%"
"Aug 17, 2021","468.00","468.00","468.00","468.00","0.10K","0.00%"
"Aug 16, 2021","468.00","468.00","468.00","468.00","0.14K","1.97%"
"Aug 11, 2021","458.95","458.95","458.95","458.95","0.08K","1.99%"
"Aug 06, 2021","450.00","450.00","450.00","450.00","1.02K","-1.30%"
"Aug 05, 2021","455.95","455.95","455.95","455.95","0.01K","1.32%"
"Aug 03, 2021","450.00","450.00","450.00","450.00","0.20K","0.00%"
"Aug 02, 2021","450.00","450.00","450.00","450.00","2.16K","1.35%"
"Jul 28, 2021","444.00","444.00","444.00","444.00","0.00K","0.91%"
"Jul 23, 2021","440.00","440.00","440.00","440.00","0.01K","0.79%"
"Jul 19, 2021","436.55","436.55","436.55","436.55","1.34K","-2.00%"
"Jul 05, 2021","445.45","445.45","445.45","445.45","0.66K","-1.01%"
"Jun 28, 2021","450.00","450.00","450.00","450.00","0.02K","-1.08%"
"Jun 25, 2021","454.90","445.00","454.90","444.95","1.90K","-0.02%"
"Jun 23, 2021","455.00","454.50","455.00","454.50","0.05K","0.00%"
"Jun 21, 2021","455.00","455.00","455.00","455.00","0.00K","3.06%"
"Jun 18, 2021","441.50","442.00","442.00","441.50","0.04K","0.00%"
"Jun 17, 2021","441.50","441.50","441.50","441.50","0.01K","0.00%"
"Jun 14, 2021","441.50","441.50","441.50","441.50","0.16K","-1.89%"
"Jun 11, 2021","450.00","450.00","450.00","450.00","0.20K","1.81%"
"Jun 09, 2021","442.00","442.00","442.00","442.00","0.11K","0.11%"
"Jun 08, 2021","441.50","445.00","445.00","441.50","0.05K","-2.11%"
"Jun 04, 2021","451.00","451.00","451.00","450.00","0.13K","-1.31%"
"Jun 03, 2021","457.00","446.10","457.00","440.00","0.04K","1.56%"
"Jun 02, 2021","450.00","450.00","458.95","450.00","0.04K","0.00%"
"Jun 01, 2021","450.00","457.25","462.00","450.00","4.74K","-1.08%"
"May 31, 2021","454.90","454.90","454.90","454.90","0.27K","1.09%"
"May 28, 2021","450.00","445.00","450.00","445.00","0.48K","1.12%"
"May 27, 2021","445.00","449.90","450.00","440.00","7.20K","0.91%"
"May 26, 2021","441.00","440.00","441.00","440.00","10.21K","0.23%"
"May 25, 2021","440.00","457.00","457.00","440.00","0.13K","-0.97%"
"May 21, 2021","444.30","435.70","444.30","435.70","0.11K","3.99%"
"May 20, 2021","427.25","427.25","427.25","427.25","0.01K","-3.99%"
"May 18, 2021","445.00","445.00","445.00","445.00","0.01K","0.90%"
"May 17, 2021","441.05","441.05","441.05","441.05","0.06K","-1.99%"
"May 10, 2021","450.00","450.00","450.00","450.00","1.00K","1.81%"
"May 07, 2021","442.00","442.00","442.00","442.00","0.10K","-3.28%"
"May 04, 2021","457.00","457.00","457.00","457.00","0.03K","1.78%"
"Apr 30, 2021","449.00","435.00","449.00","435.00","10.80K","0.00%"
"Apr 29, 2021","449.00","432.10","449.00","432.10","0.86K","-0.22%"
"Apr 23, 2021","450.00","450.00","450.00","450.00","0.21K","-0.02%"
"Apr 19, 2021","450.10","440.00","450.10","440.00","0.01K","0.00%"
"Apr 12, 2021","450.10","450.00","450.20","450.00","0.59K","-3.62%"
"Apr 09, 2021","467.00","450.00","467.00","450.00","0.03K","3.78%"
"Apr 08, 2021","450.00","450.00","450.00","450.00","0.00K","-3.84%"
"Apr 02, 2021","467.95","467.95","467.95","467.95","0.01K","3.99%"
"Mar 29, 2021","450.00","450.00","450.00","450.00","5.00K","0.00%"
"Mar 26, 2021","450.00","450.00","450.00","450.00","1.36K","-1.10%"
"Mar 23, 2021","455.00","455.00","455.00","455.00","13.00K","-0.66%"
"Mar 22, 2021","458.00","458.00","458.00","458.00","0.01K","1.55%"
"Mar 19, 2021","451.00","451.00","451.00","451.00","0.60K","-3.63%"
"Mar 12, 2021","468.00","468.00","468.00","468.00","0.97K","3.77%"
"Mar 11, 2021","451.00","451.00","451.00","451.00","0.02K","0.00%"
"Mar 08, 2021","451.00","451.00","451.00","451.00","0.01K","-1.96%"
